ID,ParentID,Name,Type,BaseFlow,InitialStage,WarningStage,BoundaryStage,Comment,ShapeX,ShapeY,ShapeZ,TextX,TextY,TextZ,TextAngle,IsPlaced
34,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N035,2,0,0,0,,,697057.904444,808041.69334,0,697060.904444,697060.904444,0.0,0,1
35,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N008,2,0,0,0,,,696826.567636,807245.686402,0,696829.567636,696829.567636,0.0,0,1
36,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N013,2,0,0,0,,,695617.800369,806946.207342,0,695620.800369,695620.800369,0.0,0,1
37,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N039,2,0,0,0,,,694017.105735,808122.856564,0,694020.105735,694020.105735,0.0,0,1
38,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N011,2,0,0,0,,,693815.152727,807630.799477,0,693818.152727,693818.152727,0.0,0,1
39,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N036,2,0,0,0,,,693957.240698,806829.967746,0,693960.240698,693960.240698,0.0,0,1
40,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N031,2,0,0,0,,,693513.503396,806803.976328,0,693516.503396,693516.503396,0.0,0,1
41,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N022,2,0,0,0,,,693342.062466,806728.021755,0,693345.062466,693345.062466,0.0,0,1
42,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N023,2,0,0,0,,,692992.67012,805755.79929,0,692995.67012,692995.67012,0.0,0,1
43,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N021,2,0,0,0,,,693096.836907,805419.427916,0,693099.836907,693099.836907,0.0,0,1
44,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N020,2,0,0,0,,,693109.85755,804523.160351,0,693112.85755,693112.85755,0.0,0,1
45,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N025,2,0,0,0,,,691273.920277,805132.969499,0,691276.920277,691276.920277,0.0,0,1
46,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N032,2,0,0,0,,,691817.323061,805635.139755,0,691820.323061,691820.323061,0.0,0,1
47,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N026,2,0,0,0,,,692315.586829,805774.028584,0,692318.586829,692318.586829,0.0,0,1
48,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N027,2,0,0,0,,,692641.975612,806383.403678,0,692644.975612,692644.975612,0.0,0,1
49,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N037,2,0,0,0,,,692316.237746,804434.127065,0,692319.237746,692319.237746,0.0,0,1
50,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N001,2,0,0,0,,,691631.45073,806112.16964,0,691634.45073,691634.45073,0.0,0,1
51,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N015,2,0,0,0,,,691498.638331,806292.403204,0,691501.638331,691501.638331,0.0,0,1
52,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N016,2,0,0,0,,,690728.889871,806505.126532,0,690731.889871,690731.889871,0.0,0,1
53,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N024,2,0,0,0,,,690719.83313,805591.237611,0,690722.83313,690722.83313,0.0,0,1
54,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N018,2,0,0,0,,,691122.610868,806980.126566,0,691125.610868,691125.610868,0.0,0,1
55,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N017,2,0,0,0,,,691518.444066,806983.599,0,691521.444066,691521.444066,0.0,0,1
